大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,埼玉上尾メディックス,26,27,60,25,3,41.7,3,0,0,0.0,0.93,3,0.11,10,0,2,0,2,25.0,4,2,0,50.0,25,3,2,30
スターカンファレンス,埼玉上尾メディックス,15,21,49,22,1,44.9,3,0,0,0.0,1.05,2,0.10,7,0,2,0,2,35.7,3,1,0,33.3,22,2,2,26
交流戦,埼玉上尾メディックス,6,5,9,3,1,33.3,0,0,0,-,0.60,1,0.20,3,0,0,0,0,0.0,0,0,0,-,3,1,0,4
ファイナル８・Ａグループ,埼玉上尾メディックス,3,1,2,0,1,0.0,0,0,0,-,-,0,-,0,0,0,0,0,-,1,1,0,100.0,0,0,0,0
セミファイナル②,埼玉上尾メディックス,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
３位決定戦,埼玉上尾メディックス,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 WOMEN 2018-19,埼玉上尾メディックス,26,42,134,44,10,32.8,5,0,1,0.0,1.05,5,0.12,38,0,1,1,12,9.9,18,7,3,47.2,44,5,1,50
Eastern Conference,埼玉上尾メディックス,10,9,27,10,3,37.0,1,0,0,0.0,1.11,0,-,1,0,0,0,0,0.0,0,0,0,-,10,0,0,10
交流戦,埼玉上尾メディックス,9,20,68,21,3,30.9,1,0,0,0.0,1.05,2,0.10,24,0,1,0,10,14.6,5,2,2,60.0,21,2,1,24
ファイナル８,埼玉上尾メディックス,7,13,39,13,4,33.3,3,0,1,0.0,1.00,3,0.23,13,0,0,1,2,1.9,13,5,1,42.3,13,3,0,16
Ｖ・プレミアリーグ女子 2017/18,埼玉上尾メディックス,13,32,126,49,8,38.9,4,3,0,75.0,1.53,1,0.03,91,1,4,10,28,10.4,198,48,54,37.9,49,1,5,55
レギュラーラウンド,埼玉上尾メディックス,13,32,126,49,8,38.9,4,3,0,75.0,1.53,1,0.03,91,1,4,10,28,10.4,198,48,54,37.9,49,1,5,55
レギュラーシーズン通算,,53,87,279,105,16,37.6,9,3,0,33.3,1.21,6,0.07,126,1,7,10,40,12.3,206,51,56,38.3,105,6,8,119
通算,,65,101,320,118,21,36.9,12,3,1,25.0,1.17,9,0.09,139,1,7,11,42,11.3,220,57,57,38.9,118,9,8,135
