大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,埼玉上尾メディックス,3,8,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,11,3,5,50.0,0,0,0,0
スターカンファレンス,埼玉上尾メディックス,2,5,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,6,1,4,50.0,0,0,0,0
交流戦,埼玉上尾メディックス,1,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,5,2,1,50.0,0,0,0,0
V.LEAGUE DIVISION1 WOMEN 2018-19,埼玉上尾メディックス,8,16,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,15,5,3,43.3,0,0,0,0
Eastern Conference,埼玉上尾メディックス,2,4,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,4,2,1,62.5,0,0,0,0
交流戦,埼玉上尾メディックス,3,4,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル８,埼玉上尾メディックス,3,8,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,11,3,2,36.4,0,0,0,0
レギュラーシーズン通算,,8,16,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,15,5,6,53.3,0,0,0,0
通算,,11,24,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,26,8,8,46.2,0,0,0,0
