大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,JTサンダーズ広島,22,47,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,186,108,40,68.8,0,0,0,0
レギュラーラウンド,JTサンダーズ広島,21,43,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,162,91,36,67.3,0,0,0,0
GAME2（4位決定戦）,JTサンダーズ広島,1,4,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,24,17,4,79.2,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,JTサンダーズ,36,132,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,520,266,117,62.4,0,0,0,0
レギュラーラウンド,JTサンダーズ,27,97,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,373,194,85,63.4,0,0,0,0
ファイナル６,JTサンダーズ,5,18,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,87,48,19,66.1,0,0,0,0
ファイナル３,JTサンダーズ,2,9,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,38,16,10,55.3,0,0,0,0
ファイナル,JTサンダーズ,2,8,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,22,8,3,43.2,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,JTサンダーズ,29,107,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,497,231,165,63.1,0,0,0,0
レギュラーラウンド,JTサンダーズ,21,78,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,349,173,121,66.9,0,0,0,0
ファイナル６,JTサンダーズ,5,20,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,99,40,26,53.5,0,0,0,0
ファイナル３,JTサンダーズ,3,9,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,49,18,18,55.1,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,JTサンダーズ,4,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,JTサンダーズ,4,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
チャレンジマッチ男子2016/17,JTサンダーズ,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
チャレンジマッチ,JTサンダーズ,2,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,73,221,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,884,458,242,65.5,0,0,0,0
通算,,93,289,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,1203,605,322,63.7,0,0,0,0
