名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エンダキエムブレイ,2012-12,ジェイテクトSTINGS,7,10,46,32,1,69.6,67.4,10,8,0,10,47,6,7,26,0,0,0,80.0,3.2,1.0,22.9,
エンダキエムブレイ,2013-01,ジェイテクトSTINGS,7,12,100,56,6,56.0,50.0,29,13,2,6,44,6,13,14,0,0,0,44.8,4.67,0.5,14.2,
エンダキエムブレイ,2013-02,ジェイテクトSTINGS,7,20,194,101,20,52.1,41.8,66,36,10,16,74,10,24,23,0,0,0,54.5,5.05,0.8,13.2,
エンダキエムブレイ,2013-03,ジェイテクトSTINGS,7,10,85,45,7,52.9,44.7,15,10,0,5,33,4,13,13,0,0,0,66.7,4.5,0.5,12.1,
三芳健斗,2012-12,富士通カワサキレッドスピリッツ,6,5,20,16,1,80.0,75.0,0,0,0,5,16,1,4,4,0,0,0,,3.2,1.0,6.2,
三芳健斗,2013-01,富士通カワサキレッドスピリッツ,6,4,7,5,0,71.4,71.4,0,0,0,0,10,0,0,6,0,0,0,,1.25,0.0,15.0,
三芳健斗,2013-02,富士通カワサキレッドスピリッツ,6,9,19,8,1,42.1,36.8,0,0,0,3,29,1,4,14,0,0,0,,0.89,0.33,12.1,
三芳健斗,2013-03,富士通カワサキレッドスピリッツ,6,10,31,14,1,45.2,41.9,0,0,0,6,25,1,2,12,0,0,0,,1.4,0.6,14.0,
上原大,2012-12,トヨタ自動車サンホークス,10,5,25,6,5,24.0,4.0,0,0,0,0,11,0,0,5,1,0,0,,1.2,0.0,11.4,0.0
上原大,2013-01,トヨタ自動車サンホークス,10,14,82,34,8,41.5,31.7,0,0,0,5,50,1,5,14,7,5,0,,2.43,0.36,6.5,71.4
上原大,2013-02,トヨタ自動車サンホークス,10,16,108,36,25,33.3,10.2,3,1,0,2,57,5,6,21,43,17,0,33.3,2.25,0.12,15.4,39.5
上原大,2013-03,トヨタ自動車サンホークス,10,18,101,42,17,41.6,24.8,4,0,4,2,67,4,8,30,26,8,0,0.0,2.33,0.11,14.2,30.8
下出谷剛生,2012-12,近畿クラブスフィーダ,23,5,5,3,0,60.0,60.0,0,0,0,4,19,0,5,6,1,0,0,,0.6,0.8,1.3,0.0
下出谷剛生,2013-01,近畿クラブスフィーダ,23,7,4,1,1,25.0,0.0,0,0,0,1,17,2,2,2,0,0,0,,0.14,0.14,11.8,
下出谷剛生,2013-02,近畿クラブスフィーダ,23,12,12,6,1,50.0,41.7,0,0,0,0,33,1,7,6,1,0,0,,0.5,0.0,2.3,0.0
下出谷剛生,2013-03,近畿クラブスフィーダ,23,5,3,2,0,66.7,66.7,0,0,0,3,17,2,4,6,0,0,0,,0.4,0.6,14.7,
中島健太,2012-12,近畿クラブスフィーダ,19,7,22,12,1,54.5,50.0,2,1,0,5,15,0,2,4,0,0,0,50.0,1.71,0.71,3.3,
中島健太,2013-01,近畿クラブスフィーダ,19,13,46,21,5,45.7,34.8,1,0,1,8,29,0,6,8,1,1,0,0.0,1.62,0.62,1.7,100.0
中島健太,2013-02,近畿クラブスフィーダ,19,10,22,10,1,45.5,40.9,1,1,0,1,19,0,5,3,0,0,0,100.0,1.0,0.1,-2.6,
中島健太,2013-03,近畿クラブスフィーダ,19,4,13,4,1,30.8,23.1,0,0,0,3,6,0,1,2,1,1,0,,1.0,0.75,4.2,100.0
中川剛,2012-12,富士通カワサキレッドスピリッツ,1,14,132,72,11,54.5,46.2,50,29,5,8,50,2,4,12,0,0,0,58.0,5.14,0.57,8.0,
中川剛,2013-01,富士通カワサキレッドスピリッツ,1,15,133,61,18,45.9,32.3,50,28,7,2,66,3,3,31,0,0,0,56.0,4.07,0.13,15.2,
中川剛,2013-02,富士通カワサキレッドスピリッツ,1,21,172,74,15,43.0,34.3,69,33,6,2,74,5,7,24,0,0,0,47.8,3.52,0.1,12.5,
中川剛,2013-03,富士通カワサキレッドスピリッツ,1,17,133,67,12,50.4,41.4,54,24,7,3,56,1,5,21,0,0,0,44.4,3.94,0.18,8.9,
中村耕平,2012-12,東京ヴェルディ,29,5,26,8,4,30.8,15.4,1,0,1,3,16,0,1,5,43,20,0,0.0,1.6,0.6,6.2,46.5
中村耕平,2013-01,東京ヴェルディ,29,13,49,17,5,34.7,24.5,1,0,0,5,27,1,5,6,97,46,0,0.0,1.31,0.38,4.6,47.4
中村耕平,2013-02,東京ヴェルディ,29,17,0,0,0,,,0,0,0,0,22,2,3,10,0,0,0,,0.0,0.0,17.0,
中村耕平,2013-03,東京ヴェルディ,29,8,0,0,0,,,0,0,0,0,12,1,6,1,0,0,0,,0.0,0.0,-2.1,
中村航太朗,2012-12,警視庁フォートファイターズ,13,6,0,0,0,,,0,0,0,0,8,0,0,3,0,0,0,,0.0,0.0,9.4,
中村航太朗,2013-01,警視庁フォートファイターズ,13,21,13,8,2,61.5,46.2,1,1,0,2,41,3,6,20,20,9,0,100.0,0.38,0.1,15.9,45.0
中村航太朗,2013-02,警視庁フォートファイターズ,13,21,0,0,0,,,0,0,0,0,32,1,8,15,0,0,0,,0.0,0.0,8.6,
中村航太朗,2013-03,警視庁フォートファイターズ,13,15,24,8,4,33.3,16.7,6,2,3,2,37,5,6,12,12,6,0,33.3,0.53,0.13,17.6,50.0
中沢敏浩,2012-12,東京トヨペットグリーンスパークル,4,2,0,0,0,,,0,0,0,0,0,0,0,0,10,5,0,,0.0,0.0,,50.0
中沢敏浩,2013-01,東京トヨペットグリーンスパークル,4,2,0,0,0,,,0,0,0,0,0,0,0,0,12,5,0,,0.0,0.0,,41.7
中沢敏浩,2013-02,東京トヨペットグリーンスパークル,4,19,0,0,0,,,0,0,0,0,0,0,0,0,135,74,0,,0.0,0.0,,54.8
中沢敏浩,2013-03,東京トヨペットグリーンスパークル,4,15,0,0,0,,,0,0,0,0,0,0,0,0,113,44,0,,0.0,0.0,,38.9
中田学,2012-12,警視庁フォートファイターズ,24,14,10,1,3,10.0,-20.0,1,0,0,4,36,1,8,13,1,0,0,0.0,0.07,0.29,6.2,0.0
