名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エンダキエムブレイ,ジェイテクトSTINGS,7,79,52,425,234,34,55.1,47.1,120,67,12,37,198,26,57,76,0,0,0,55.8,4.5,0.71,15.5,
三芳健斗,富士通カワサキレッドスピリッツ,6,82,28,77,43,3,55.8,51.9,0,0,0,14,80,3,10,36,0,0,0,,1.54,0.5,11.9,
上原大,トヨタ自動車サンホークス,10,77,53,316,118,55,37.3,19.9,7,1,4,9,185,10,19,70,77,30,0,14.3,2.23,0.17,12.3,39.0
下出谷剛生,近畿クラブスフィーダ,23,41,29,24,12,2,50.0,41.7,0,0,0,8,86,5,18,20,2,0,0,,0.41,0.28,6.4,0.0
中島健太,近畿クラブスフィーダ,19,38,34,103,47,8,45.6,37.9,4,2,1,17,69,0,14,17,2,2,0,50.0,1.38,0.5,1.1,100.0
中川剛,富士通カワサキレッドスピリッツ,1,79,67,570,274,56,48.1,38.2,223,114,25,15,246,11,19,88,0,0,0,51.1,4.09,0.22,11.5,
中村耕平,東京ヴェルディ,29,52,43,75,25,9,33.3,21.3,2,0,1,8,77,4,15,22,140,66,0,0.0,0.58,0.19,7.5,47.1
中村航太朗,警視庁フォートファイターズ,13,69,63,37,16,6,43.2,27.0,7,3,3,4,118,9,20,50,32,15,0,42.9,0.25,0.06,14.0,46.9
中沢敏浩,東京トヨペットグリーンスパークル,4,80,38,0,0,0,,,0,0,0,0,0,0,0,0,270,128,0,,0.0,0.0,,47.4
中田学,警視庁フォートファイターズ,24,69,74,59,16,9,27.1,11.9,3,1,0,40,236,4,31,89,8,0,0,33.3,0.22,0.54,7.8,0.0
中西優介,きんでんトリニティーブリッツ,16,69,37,8,3,0,37.5,37.5,0,0,0,0,45,0,0,15,80,40,0,,0.08,0.0,8.3,50.0
中道元貴,警視庁フォートファイターズ,14,69,71,504,232,51,46.0,35.9,23,11,3,16,281,14,55,124,437,248,0,47.8,3.27,0.23,11.1,56.8
中道淑人,大同特殊鋼レッドスター,17,78,24,0,0,0,,,0,0,0,0,0,0,0,0,18,10,0,,0.0,0.0,,55.6
丸山祥二,つくばユナイテッドSunGAIA,4,80,39,81,46,11,56.8,43.2,0,0,0,11,152,4,17,71,13,9,0,,1.18,0.28,11.5,69.2
久原大輝,つくばユナイテッドSunGAIA,19,32,52,284,122,22,43.0,35.2,16,4,4,12,204,13,32,49,407,275,0,25.0,2.35,0.23,8.5,67.6
二宮弘樹,トヨタ自動車サンホークス,14,81,70,378,154,62,40.7,24.3,13,5,5,19,229,9,18,92,69,21,0,38.5,2.2,0.27,12.0,30.4
五十嵐元,つくばユナイテッドSunGAIA,10,80,30,42,11,7,26.2,9.5,0,0,0,11,70,2,8,13,160,101,0,,0.37,0.37,4.6,63.1
井上人哉,警視庁フォートファイターズ,7,40,10,0,0,0,,,0,0,0,0,19,0,3,5,0,0,0,,0.0,0.0,2.6,
井上優人,兵庫デルフィーノ,1,79,72,213,95,20,44.6,35.2,0,0,0,46,221,16,36,88,6,3,0,,1.32,0.64,13.1,50.0
井上周二,兵庫デルフィーノ,6,75,60,357,122,26,34.2,26.9,34,10,4,14,145,1,11,26,425,284,0,29.4,2.03,0.23,3.3,66.8
