名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
マティアスラウル,2011-12,ジェイテクトSTINGS,1,4,25,14,2,56.0,48.0,4,1,1,2,13,0,7,5,23,18,0,25.0,3.5,0.5,-3.8,78.3
マティアスラウル,2012-01,ジェイテクトSTINGS,1,8,54,32,3,59.3,53.7,15,9,0,5,31,1,7,10,24,14,0,60.0,4.0,0.62,5.6,58.3
マティアスラウル,2012-02,ジェイテクトSTINGS,1,4,39,22,4,56.4,46.2,15,7,2,0,18,2,4,4,0,0,0,46.7,5.5,0.0,11.1,
三芳健斗,2011-12,富士通カワサキレッドスピリッツ,6,6,20,10,2,50.0,40.0,0,0,0,2,18,2,6,4,0,0,0,,1.67,0.33,8.3,
三芳健斗,2012-01,富士通カワサキレッドスピリッツ,6,21,43,20,1,46.5,44.2,0,0,0,13,48,1,9,13,2,1,0,,0.95,0.62,4.2,50.0
三芳健斗,2012-02,富士通カワサキレッドスピリッツ,6,5,18,8,1,44.4,38.9,0,0,0,4,16,0,3,3,0,0,0,,1.6,0.8,0.0,
上村駿,2012-02,東京ヴェルディ,35,3,2,0,0,0.0,0.0,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
中島俊介,2011-12,東京ヴェルディ,15,10,95,41,14,43.2,28.4,22,10,8,2,29,3,6,7,27,10,0,45.5,4.1,0.2,11.2,37.0
中島俊介,2012-01,東京ヴェルディ,15,13,95,51,8,53.7,45.3,26,12,4,5,49,6,9,20,33,22,0,46.2,3.92,0.38,17.9,66.7
中島俊介,2012-02,東京ヴェルディ,15,7,52,28,4,53.8,46.2,14,7,1,2,38,8,8,13,22,6,0,50.0,4.0,0.29,24.3,27.3
中島健太,2011-12,近畿クラブスフィーダ,19,10,58,19,10,32.8,15.5,13,2,6,0,18,0,1,1,2,1,0,15.4,1.9,0.0,0.0,50.0
中島健太,2012-01,近畿クラブスフィーダ,19,5,38,10,6,26.3,10.5,2,0,0,5,18,1,1,2,1,0,0,0.0,2.0,1.0,6.9,0.0
中島健太,2012-02,近畿クラブスフィーダ,19,4,20,5,2,25.0,15.0,1,0,0,1,14,1,3,1,1,0,0,0.0,1.25,0.25,3.6,0.0
中川剛,2011-12,富士通カワサキレッドスピリッツ,1,5,32,15,3,46.9,37.5,14,7,2,4,22,1,1,6,0,0,0,50.0,3.0,0.8,10.2,
中川剛,2012-01,富士通カワサキレッドスピリッツ,1,22,205,98,15,47.8,40.5,74,36,6,3,76,1,4,23,0,0,0,48.6,4.45,0.14,7.6,
中川剛,2012-02,富士通カワサキレッドスピリッツ,1,4,32,23,1,71.9,68.8,11,8,1,0,15,0,1,4,0,0,0,72.7,5.75,0.0,5.0,
中村耕平,2011-12,東京ヴェルディ,29,4,0,0,0,,,0,0,0,0,5,0,1,1,0,0,0,,0.0,0.0,0.0,
中村航太朗,2011-12,警視庁フォートファイターズ,13,2,0,0,0,,,0,0,0,0,5,1,1,3,0,0,0,,0.0,0.0,30.0,
中村航太朗,2012-01,警視庁フォートファイターズ,13,15,72,28,9,38.9,26.4,10,0,3,2,41,1,11,8,52,34,0,0.0,1.87,0.13,0.6,65.4
中沢敏浩,2011-12,東京トヨペットグリーンスパークル,4,5,0,0,0,,,0,0,0,0,0,0,0,0,28,14,0,,0.0,0.0,,50.0
中沢敏浩,2012-01,東京トヨペットグリーンスパークル,4,13,0,0,0,,,0,0,0,0,0,0,0,0,63,43,0,,0.0,0.0,,68.3
中沢敏浩,2012-02,東京トヨペットグリーンスパークル,4,5,0,0,0,,,0,0,0,0,0,0,0,0,37,19,0,,0.0,0.0,,51.4
中田学,2011-12,警視庁フォートファイターズ,24,9,77,29,7,37.7,28.6,18,8,2,3,28,3,6,6,24,14,0,44.4,3.22,0.33,10.7,58.3
中田学,2012-01,警視庁フォートファイターズ,24,12,93,43,6,46.2,39.8,22,9,4,5,37,1,9,8,49,34,0,40.9,3.58,0.42,2.0,69.4
中田学,2012-02,警視庁フォートファイターズ,24,3,31,12,2,38.7,32.3,14,4,2,0,12,0,3,2,11,10,0,28.6,4.0,0.0,-2.1,90.9
中西優介,2011-12,きんでんトリニティーブリッツ,16,9,0,0,0,,,0,0,0,0,9,0,0,3,6,4,0,,0.0,0.0,8.3,66.7
中西優介,2012-01,きんでんトリニティーブリッツ,16,7,1,0,1,0.0,-100.0,0,0,0,0,8,0,1,3,1,0,0,,0.0,0.0,6.2,0.0
中道元貴,2011-12,警視庁フォートファイターズ,14,6,41,17,7,41.5,24.4,3,1,2,1,26,3,4,11,41,26,0,33.3,2.83,0.17,18.3,63.4
中道元貴,2012-01,警視庁フォートファイターズ,14,17,131,63,19,48.1,33.6,21,10,4,10,69,7,9,23,112,78,0,47.6,3.71,0.59,15.2,69.6
中道元貴,2012-02,警視庁フォートファイターズ,14,3,18,9,3,50.0,33.3,3,1,1,1,9,1,3,4,23,17,0,33.3,3.0,0.33,13.9,73.9
中道淑人,2011-12,大同特殊鋼レッドスター,17,3,0,0,0,,,0,0,0,0,3,0,1,0,1,0,0,,0.0,0.0,-8.3,0.0
中道淑人,2012-01,大同特殊鋼レッドスター,17,13,0,0,0,,,0,0,0,0,9,0,2,1,28,19,0,,0.0,0.0,-2.8,67.9
中道淑人,2012-02,大同特殊鋼レッドスター,17,3,0,0,0,,,0,0,0,0,5,0,2,1,2,2,0,,0.0,0.0,-5.0,100.0
久原大輝,2011-12,つくばユナイテッドSunGAIA,19,3,1,1,0,100.0,100.0,0,0,0,0,6,2,0,1,2,2,0,,0.33,0.0,37.5,100.0
久原大輝,2012-01,つくばユナイテッドSunGAIA,19,8,15,11,0,73.3,73.3,0,0,0,0,21,2,4,6,43,32,0,,1.38,0.0,11.9,74.4
久原大輝,2012-02,つくばユナイテッドSunGAIA,19,3,7,3,0,42.9,42.9,0,0,0,1,8,0,0,2,26,21,0,,1.0,0.33,6.2,80.8
