名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
白澤健児,パナソニックパンサーズ,6,89,215,121,11,56.3,51.2,0,0,0,66,255,8,13,66,19,8,0,195,,1.4,0.7,8.3,42.1
盛重龍,豊田合成トレフェルサ,1,64,249,115,21,46.2,37.8,54,33,6,22,169,4,34,27,169,93,0,141,61.1,1.8,0.3,1.3,55.0
相澤寿,東レアローズ,7,39,64,35,4,54.7,48.4,0,0,0,17,70,1,4,23,4,3,0,53,,0.9,0.4,8.2,75.0
石垣公也,大分三好ヴァイセアドラー,15,14,10,3,1,30.0,20.0,0,0,0,0,15,0,6,6,13,4,0,3,,0.2,0.0,0.0,30.8
石島雄介,堺ブレイザーズ,3,88,509,244,28,47.9,42.4,68,37,3,66,308,24,67,88,432,272,0,334,54.4,2.8,0.8,9.5,63.0
石橋健,JTサンダーズ,18,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
神田聖馬,JTサンダーズ,5,75,48,23,6,47.9,35.4,26,11,5,0,115,4,27,47,0,0,0,27,42.3,0.3,0.0,7.8,
福島政則,豊田合成トレフェルサ,5,4,23,12,3,52.2,39.1,8,2,2,1,11,0,0,2,0,0,0,13,25.0,3.0,0.2,4.5,
福澤達哉,パナソニックパンサーズ,15,75,495,273,36,55.2,47.9,126,76,12,38,264,9,76,77,398,192,0,320,60.3,3.6,0.5,3.5,48.2
福田誉,FC東京,3,21,0,0,0,,,0,0,0,0,0,0,0,0,70,40,0,0,,0.0,0.0,,57.1
筧本翔昂,JTサンダーズ,20,23,39,13,3,33.3,25.6,0,0,0,16,58,0,3,13,7,6,0,29,,0.6,0.7,4.3,85.7
篠田歩,東レアローズ,17,93,212,125,16,59.0,51.4,2,0,1,56,378,10,32,108,5,4,0,191,0.0,1.3,0.6,7.7,80.0
米山裕太,東レアローズ,5,92,584,279,28,47.8,43.0,82,45,8,33,313,5,30,76,740,507,0,317,54.9,3.0,0.4,5.3,68.5
米山達也,サントリーサンバーズ,20,86,465,223,26,48.0,42.4,62,25,9,22,349,18,40,133,522,323,0,263,40.3,2.6,0.3,11.8,61.9
興梠龍司,大分三好ヴァイセアドラー,12,55,0,0,0,,,0,0,0,0,0,0,0,0,341,206,0,0,,0.0,0.0,,60.4
舩越満,大分三好ヴァイセアドラー,11,16,51,19,4,37.3,29.4,4,2,1,3,35,0,10,10,120,70,0,22,50.0,1.2,0.2,0.0,58.3
菅直哉,JTサンダーズ,15,68,19,8,0,42.1,42.1,0,0,0,25,204,0,3,34,4,0,0,33,,0.1,0.4,3.8,0.0
西尾太作,堺ブレイザーズ,16,11,44,17,4,38.6,29.5,8,6,1,2,17,1,6,1,21,6,0,20,75.0,1.5,0.2,-1.5,28.6
角田辰徳,東レアローズ,16,54,313,131,24,41.9,34.2,39,25,2,9,140,4,24,37,129,71,0,144,64.1,2.4,0.2,5.2,55.0
