名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンジェルコチュク,2010-12,豊田合成トレフェルサ,10,25,245,123,21,50.2,41.6,81,41,9,11,97,2,19,30,1,1,0,136,50.6,4.92,0.44,4.9,100.0
アンジェルコチュク,2011-01,豊田合成トレフェルサ,10,28,241,116,30,48.1,35.7,97,47,13,10,94,4,18,23,1,0,0,130,48.5,4.14,0.36,5.6,0.0
アンジェルコチュク,2011-02,豊田合成トレフェルサ,10,27,263,136,17,51.7,45.2,103,50,8,11,98,10,29,25,2,1,0,157,48.5,5.04,0.41,9.2,50.0
アンジェルコチュク,2011-03,豊田合成トレフェルサ,10,6,50,24,6,48.0,36.0,14,7,0,3,21,1,6,10,0,0,0,28,50.0,4.0,0.5,9.5,
エンダキエムブレイ,2010-12,堺ブレイザーズ,7,23,226,111,26,49.1,37.6,91,44,9,9,92,14,22,34,1,0,0,134,48.4,4.83,0.39,18.5,0.0
エンダキエムブレイ,2011-01,堺ブレイザーズ,7,28,243,128,22,52.7,43.6,100,60,11,24,115,13,31,31,0,0,0,165,60.0,4.57,0.86,11.3,
エンダキエムブレイ,2011-02,堺ブレイザーズ,7,33,317,163,30,51.4,42.0,114,54,18,26,130,10,30,50,0,0,0,199,47.4,4.94,0.79,11.5,
エンダキエムブレイ,2011-03,堺ブレイザーズ,7,6,57,43,4,75.4,68.4,24,16,3,2,27,3,4,9,0,0,0,48,66.7,7.17,0.33,15.7,
オンテレジェームス,2010-12,大分三好ヴァイセアドラー,10,18,200,76,23,38.0,26.5,90,38,9,10,56,4,22,11,0,0,0,90,42.2,4.22,0.56,2.2,
オンテレジェームス,2011-01,大分三好ヴァイセアドラー,10,27,309,148,29,47.9,38.5,114,46,19,7,96,4,30,24,3,1,0,159,40.4,5.48,0.26,2.6,33.3
オンテレジェームス,2011-02,大分三好ヴァイセアドラー,10,30,360,192,26,53.3,46.1,171,99,13,11,100,4,36,26,0,0,0,207,57.9,6.4,0.37,1.5,
オンテレジェームス,2011-03,大分三好ヴァイセアドラー,10,7,101,39,13,38.6,25.7,48,18,8,3,24,1,6,11,1,0,0,43,37.5,5.57,0.43,9.4,0.0
ゴメスエルナルド,2010-12,JTサンダーズ,11,25,279,128,22,45.9,38.0,129,64,11,15,108,11,17,54,0,0,0,154,49.6,5.12,0.6,18.8,
ゴメスエルナルド,2011-01,JTサンダーズ,11,32,399,216,24,54.1,48.1,176,97,12,14,136,12,24,54,0,0,0,242,55.1,6.75,0.44,14.3,
ゴメスエルナルド,2011-02,JTサンダーズ,11,29,390,198,29,50.8,43.3,177,92,15,10,126,15,30,45,0,0,0,223,52.0,6.83,0.34,14.9,
ゴメスエルナルド,2011-03,JTサンダーズ,11,7,64,29,2,45.3,42.2,29,13,1,4,35,5,7,13,1,0,0,38,44.8,4.14,0.57,18.6,0.0
シウマルアウメイダ,2010-12,パナソニックパンサーズ,11,19,134,57,11,42.5,34.3,30,16,2,21,60,0,16,21,76,40,0,78,53.3,3.0,1.11,2.1,52.6
シウマルアウメイダ,2011-01,パナソニックパンサーズ,11,27,171,79,13,46.2,38.6,35,19,3,13,80,1,10,28,111,56,0,93,54.3,2.93,0.48,6.9,50.5
シウマルアウメイダ,2011-02,パナソニックパンサーズ,11,6,43,17,2,39.5,34.9,7,2,2,3,26,0,2,12,36,19,0,20,28.6,2.83,0.5,9.6,52.8
ゾボレビーガブリエル,2010-12,FC東京,99,22,185,83,21,44.9,33.5,59,28,9,4,65,3,26,24,0,0,0,90,47.5,3.77,0.18,3.8,
ゾボレビーガブリエル,2011-01,FC東京,99,26,255,112,31,43.9,31.8,108,51,17,5,93,7,31,31,0,0,0,124,47.2,4.31,0.19,7.5,
ゾボレビーガブリエル,2011-02,FC東京,99,5,40,17,6,42.5,27.5,20,9,4,1,15,2,2,8,0,0,0,20,45.0,3.4,0.2,23.3,
テオロペス,2010-12,サントリーサンバーズ,9,23,222,101,25,45.5,34.2,81,44,11,18,92,7,25,32,0,0,0,126,54.3,4.39,0.78,9.5,
テオロペス,2011-01,サントリーサンバーズ,9,31,299,135,18,45.2,39.1,107,48,11,16,129,4,25,45,0,0,0,155,44.9,4.35,0.52,7.0,
テオロペス,2011-02,サントリーサンバーズ,9,28,261,126,29,48.3,37.2,99,48,12,16,111,3,12,33,0,0,0,145,48.5,4.5,0.57,7.4,
テオロペス,2011-03,サントリーサンバーズ,9,8,61,27,8,44.3,31.1,27,12,5,1,35,5,14,7,0,0,0,33,44.4,3.38,0.12,9.3,
ボヨビッチデヤン,2010-12,東レアローズ,12,16,147,81,8,55.1,49.7,50,25,5,10,56,2,15,14,0,0,0,93,50.0,5.06,0.62,3.1,
ボヨビッチデヤン,2011-01,東レアローズ,12,30,225,105,15,46.7,40.0,64,35,7,16,102,3,34,26,0,0,0,124,54.7,3.5,0.53,1.0,
ボヨビッチデヤン,2011-02,東レアローズ,12,32,328,162,15,49.4,44.8,115,58,6,19,104,1,29,18,1,0,0,182,50.4,5.06,0.59,-1.7,0.0
ボヨビッチデヤン,2011-03,東レアローズ,12,7,53,31,5,58.5,49.1,16,10,3,3,22,0,2,6,0,0,0,34,62.5,4.43,0.43,4.5,
三上圭治郎,2010-12,FC東京,27,21,31,9,2,29.0,22.6,2,0,0,1,30,0,7,9,94,57,0,10,0.0,0.43,0.05,1.7,60.6
三上圭治郎,2011-01,FC東京,27,28,0,0,0,,,0,0,0,0,0,0,0,0,151,99,0,0,,0.0,0.0,,65.6
三上圭治郎,2011-02,FC東京,27,30,0,0,0,,,0,0,0,0,0,0,0,0,137,81,0,0,,0.0,0.0,,59.1
三上圭治郎,2011-03,FC東京,27,7,0,0,0,,,0,0,0,0,0,0,0,0,37,23,0,0,,0.0,0.0,,62.2
上場雄也,2010-12,FC東京,5,15,73,42,3,57.5,53.4,25,14,2,0,26,1,1,9,0,0,0,43,56.0,2.8,0.0,11.5,
上場雄也,2011-01,FC東京,5,25,83,38,5,45.8,39.8,18,10,1,7,63,4,16,17,1,1,0,49,55.6,1.52,0.28,6.7,100.0
上場雄也,2011-02,FC東京,5,28,237,116,21,48.9,40.1,82,44,14,8,98,2,18,42,1,0,0,126,53.7,4.14,0.29,8.2,0.0
上場雄也,2011-03,FC東京,5,6,56,29,3,51.8,46.4,17,10,3,3,17,0,4,5,0,0,0,32,58.8,4.83,0.5,1.5,
中山大祐,2010-12,JTサンダーズ,8,3,0,0,0,,,0,0,0,0,4,0,1,2,0,0,0,0,,0.0,0.0,6.2,
中山大祐,2011-02,JTサンダーズ,8,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
中島悠樹,2010-12,大分三好ヴァイセアドラー,13,6,9,3,1,33.3,22.2,0,0,0,4,11,0,2,1,2,2,0,7,,0.5,0.67,-2.3,100.0
中島悠樹,2011-01,大分三好ヴァイセアドラー,13,6,23,9,1,39.1,34.8,0,0,0,4,23,0,1,3,0,0,0,13,,1.5,0.67,2.2,
中島悠樹,2011-02,大分三好ヴァイセアドラー,13,28,56,23,9,41.1,25.0,0,0,0,25,71,0,10,22,8,7,0,48,,0.82,0.89,4.2,87.5
中島悠樹,2011-03,大分三好ヴァイセアドラー,13,7,14,5,1,35.7,28.6,0,0,0,2,13,0,2,4,1,1,0,7,,0.71,0.29,3.8,100.0
中村祐介,2011-01,大分三好ヴァイセアドラー,21,1,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
中村祐介,2011-02,大分三好ヴァイセアドラー,21,23,45,19,3,42.2,35.6,1,1,0,4,75,2,6,18,156,102,0,25,100.0,0.83,0.17,6.7,65.4
中村祐介,2011-03,大分三好ヴァイセアドラー,21,7,22,3,3,13.6,0.0,0,0,0,0,19,1,1,3,38,21,0,4,,0.43,0.0,7.9,55.3
中村紘二,2010-12,大分三好ヴァイセアドラー,8,14,32,9,3,28.1,18.8,2,0,2,3,30,1,4,2,79,47,0,13,0.0,0.64,0.21,1.7,59.5
中村紘二,2011-01,大分三好ヴァイセアドラー,8,26,76,29,6,38.2,30.3,2,1,0,7,82,1,12,20,218,132,0,37,50.0,1.12,0.27,3.7,60.6
中村紘二,2011-02,大分三好ヴァイセアドラー,8,20,42,14,3,33.3,26.2,3,0,1,10,41,0,7,10,108,54,0,24,0.0,0.7,0.5,1.8,50.0
中村紘二,2011-03,大分三好ヴァイセアドラー,8,5,7,1,2,14.3,-14.3,1,0,1,2,11,0,1,5,21,13,0,3,0.0,0.2,0.4,9.1,61.9
丸山祥二,2010-12,豊田合成トレフェルサ,18,18,40,20,5,50.0,37.5,0,0,0,4,67,3,8,17,1,1,0,27,,1.11,0.22,7.8,100.0
丸山祥二,2011-01,豊田合成トレフェルサ,18,11,16,10,2,62.5,50.0,0,0,0,3,33,3,2,12,0,0,0,16,,0.91,0.27,16.7,
丸山祥二,2011-03,豊田合成トレフェルサ,18,5,2,1,0,50.0,50.0,0,0,0,0,9,0,0,6,1,0,0,1,,0.2,0.0,16.7,0.0
二木健太,2010-12,サントリーサンバーズ,14,14,10,5,0,50.0,50.0,0,0,0,4,21,2,2,2,0,0,0,11,,0.36,0.29,9.5,
二木健太,2011-01,サントリーサンバーズ,14,16,9,5,0,55.6,55.6,0,0,0,1,24,0,3,8,2,2,0,6,,0.31,0.06,5.2,100.0
二木健太,2011-02,サントリーサンバーズ,14,10,7,5,1,71.4,57.1,0,0,0,3,19,0,1,6,0,0,0,8,,0.5,0.3,6.6,
二木健太,2011-03,サントリーサンバーズ,14,2,0,0,0,,,0,0,0,0,4,0,2,2,0,0,0,0,,0.0,0.0,0.0,
五十嵐元,2010-12,大分三好ヴァイセアドラー,9,6,0,0,0,,,0,0,0,0,7,0,1,2,1,1,0,0,,0.0,0.0,3.6,100.0
五十嵐元,2011-01,大分三好ヴァイセアドラー,9,13,0,0,0,,,0,0,0,0,8,1,2,3,11,6,0,1,,0.0,0.0,15.6,54.5
五十嵐元,2011-02,大分三好ヴァイセアドラー,9,6,0,0,0,,,0,0,0,0,2,0,0,0,5,2,0,0,,0.0,0.0,0.0,40.0
井上俊輔,2010-12,JTサンダーズ,19,23,13,7,0,53.8,53.8,0,0,0,11,67,2,16,19,1,0,0,20,,0.3,0.48,4.1,0.0
井上俊輔,2011-01,JTサンダーズ,19,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井上俊輔,2011-02,JTサンダーズ,19,9,2,2,0,100.0,100.0,0,0,0,2,12,0,2,2,0,0,0,4,,0.22,0.22,0.0,
井上俊輔,2011-03,JTサンダーズ,19,6,2,2,0,100.0,100.0,0,0,0,1,17,0,3,4,0,0,0,3,,0.33,0.17,1.5,
