大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,JTマーヴェラス,24,90,1018,508,60,49.9,303,150,27,49.5,5.64,45,0.50,291,14,18,44,124,17.9,1,1,0,100.0,508,45,32,585
スターカンファレンス,JTマーヴェラス,13,52,564,274,32,48.6,168,78,13,46.4,5.27,35,0.67,175,3,13,28,85,17.3,1,1,0,100.0,274,35,16,325
交流戦,JTマーヴェラス,6,20,214,108,18,50.5,64,35,10,54.7,5.4,6,0.30,53,6,2,9,13,17.0,0,0,0,-,108,6,8,122
ファイナル８・Ｂグループ,JTマーヴェラス,3,10,134,72,5,53.7,46,26,3,56.5,7.2,2,0.20,33,4,1,4,13,22.0,0,0,0,-,72,2,5,79
セミファイナル②,JTマーヴェラス,1,3,39,21,2,53.8,8,3,0,37.5,7.0,0,-,10,1,1,2,3,22.5,0,0,0,-,21,0,2,23
ファイナル,JTマーヴェラス,1,5,67,33,3,49.3,17,8,1,47.1,6.6,2,0.40,20,0,1,1,10,16.2,0,0,0,-,33,2,1,36
レギュラーシーズン通算,,19,72,778,382,50,49.1,232,113,23,48.7,5.31,41,0.57,228,9,15,37,98,17.2,1,1,0,100.0,382,41,24,447
通算,,24,90,1018,508,60,49.9,303,150,27,49.5,5.64,45,0.50,291,14,18,44,124,17.9,1,1,0,100.0,508,45,32,585
