大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,JTマーヴェラス,26,72,15,4,3,26.7,9,2,2,22.2,0.06,0,-,90,1,4,3,25,11.7,126,61,33,61.5,4,0,5,9
スターカンファレンス,JTマーヴェラス,15,41,10,2,2,20.0,4,0,1,0.0,0.05,0,-,35,0,2,0,13,15.0,86,42,21,61.0,2,0,2,4
交流戦,JTマーヴェラス,6,16,1,1,0,100.0,1,1,0,100.0,0.06,0,-,25,0,1,2,4,6.0,13,6,4,61.5,1,0,1,2
ファイナル８・Ｂグループ,JTマーヴェラス,3,8,2,0,1,0.0,2,0,1,0.0,-,0,-,20,1,1,1,5,15.0,12,8,4,83.3,0,0,2,2
セミファイナル②,JTマーヴェラス,1,3,2,1,0,50.0,2,1,0,50.0,0.33,0,-,6,0,0,0,3,12.5,8,2,1,31.2,1,0,0,1
ファイナル,JTマーヴェラス,1,4,0,0,0,-,0,0,0,-,-,0,-,4,0,0,0,0,0.0,7,3,3,64.3,0,0,0,0
V.LEAGUE DIVISION1 WOMEN 2018-19,JTマーヴェラス,30,96,135,49,6,36.3,3,0,1,0.0,0.51,5,0.05,184,4,3,4,36,8.2,280,145,75,65.2,49,5,7,61
Western Conference,JTマーヴェラス,8,22,30,12,3,40.0,0,0,0,-,0.55,0,-,37,2,1,0,10,14.9,83,45,24,68.7,12,0,3,15
交流戦,JTマーヴェラス,12,43,90,36,2,40.0,2,0,0,0.0,0.84,4,0.09,104,2,0,3,18,5.5,137,66,34,60.6,36,4,2,42
ファイナル８,JTマーヴェラス,7,23,15,1,1,6.7,1,0,1,0.0,0.04,1,0.04,33,0,2,1,8,11.4,47,29,13,75.5,1,1,2,4
ファイナル３,JTマーヴェラス,3,8,0,0,0,-,0,0,0,-,-,0,-,10,0,0,0,0,0.0,13,5,4,53.8,0,0,0,0
Ｖ・プレミアリーグ女子 2017/18,JTマーヴェラス,15,53,177,66,5,37.3,1,0,0,0.0,1.25,0,-,139,1,4,8,36,8.6,313,150,82,61.0,66,0,5,71
レギュラーラウンド,JTマーヴェラス,8,28,73,28,2,38.4,1,0,0,0.0,1.00,0,-,72,0,2,4,25,10.1,141,67,36,60.3,28,0,2,30
ファイナル６,JTマーヴェラス,5,19,72,27,1,37.5,0,0,0,-,1.42,0,-,59,1,2,4,7,6.4,140,72,34,63.6,27,0,3,30
ファイナル,JTマーヴェラス,2,6,32,11,2,34.4,0,0,0,-,1.83,0,-,8,0,0,0,4,12.5,32,11,12,53.1,11,0,0,11
レギュラーシーズン通算,,49,150,204,79,9,38.7,8,1,1,12.5,0.53,4,0.03,273,4,6,9,70,9.2,460,226,119,62.1,79,4,10,93
通算,,71,221,327,119,14,36.4,13,2,3,15.4,0.54,5,0.02,413,6,11,15,97,9.1,719,356,190,62.7,119,5,17,141
