名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ジョルジェフニコラ,東レアローズ,14,5,62,29,1,46.8,45.2,32,19,1,1,21,2,2,17,1,1,0,32,59.4,5.8,0.2,27.4,100.0
ダンチアマラウ,パナソニックパンサーズ,18,5,38,19,5,50.0,36.8,7,4,1,3,15,1,2,4,40,24,0,23,57.1,3.8,0.6,10.0,60.0
ブロックソムジョエル,パナソニックパンサーズ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井手智,東レアローズ,22,3,0,0,0,,,0,0,0,0,0,0,0,0,4,3,0,0,,0.0,0.0,,75.0
今村貴彦,パナソニックパンサーズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伏見大和,東レアローズ,3,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐野翔,東レアローズ,4,4,0,0,0,,,0,0,0,0,5,0,0,1,0,0,0,0,,0.0,0.0,5.0,
合田心平,パナソニックパンサーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大木貴之,東レアローズ,20,4,0,0,0,,,0,0,0,0,8,0,1,2,0,0,0,0,,0.0,0.0,3.1,
富松崇彰,東レアローズ,1,5,15,11,1,73.3,66.7,0,0,0,2,10,0,0,3,0,0,0,13,,2.2,0.4,7.5,
専田和也,パナソニックパンサーズ,12,3,0,0,0,,,0,0,0,0,0,0,0,0,3,1,0,0,,0.0,0.0,,33.3
山添信也,パナソニックパンサーズ,3,5,10,8,0,80.0,80.0,0,0,0,2,23,1,1,10,0,0,0,11,,1.6,0.4,14.1,
星野秀知,東レアローズ,10,5,29,13,3,44.8,34.5,0,0,0,1,18,1,4,8,26,16,0,15,,2.6,0.2,11.1,61.5
李博,東レアローズ,15,5,7,2,0,28.6,28.6,0,0,0,4,12,1,1,3,0,0,0,7,,0.4,0.8,12.5,
梅野聡,東レアローズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
永野健,パナソニックパンサーズ,17,5,0,0,0,,,0,0,0,0,0,0,0,0,26,16,0,0,,0.0,0.0,,61.5
池田政之,パナソニックパンサーズ,11,4,2,2,0,100.0,100.0,0,0,0,0,1,0,0,1,0,0,0,2,,0.5,0.0,25.0,
深津英臣,パナソニックパンサーズ,2,5,1,1,0,100.0,100.0,0,0,0,0,11,0,0,5,1,0,0,1,,0.2,0.0,11.4,0.0
清水邦広,パナソニックパンサーズ,1,5,42,22,2,52.4,47.6,17,7,2,3,22,1,6,9,0,0,0,26,41.2,4.4,0.6,8.0,
渡辺俊介,東レアローズ,6,5,0,0,0,,,0,0,0,0,0,0,0,0,36,20,0,0,,0.0,0.0,,55.6
渡辺奏吾,パナソニックパンサーズ,5,5,26,12,2,46.2,38.5,4,3,0,2,17,0,2,8,22,7,0,14,75.0,2.4,0.4,8.8,31.8
瀬戸口竜矢,東レアローズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
田城貴之,パナソニックパンサーズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
白澤健児,パナソニックパンサーズ,6,5,5,3,0,60.0,60.0,0,0,0,6,13,0,0,3,3,0,0,9,,0.6,1.2,5.8,0.0
米山裕太,東レアローズ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
藤井直伸,東レアローズ,21,5,2,0,1,0.0,-50.0,0,0,0,4,16,0,0,4,1,0,0,4,,0.0,0.8,6.2,0.0
鈴木悠二,東レアローズ,18,5,18,9,3,50.0,33.3,0,0,0,2,16,1,1,9,23,9,0,12,,1.8,0.4,18.8,39.1
関田誠大,パナソニックパンサーズ,13,4,0,0,0,,,0,0,0,0,3,0,0,2,0,0,0,0,,0.0,0.0,16.7,
