名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アブラーモフパーベル,東レアローズ,4,79,64,532,283,54,53.2,43.0,114,51,20,26,220,19,47,79,369,238,0,328,44.7,4.42,0.41,12.3,64.5
カントルサンドロ,パナソニックパンサーズ,22,104,87,564,291,55,51.6,41.8,117,61,20,37,343,41,84,131,437,310,0,369,52.1,3.34,0.43,15.4,70.9
サベリエフイリア,JTサンダーズ,21,104,77,618,336,46,54.4,46.9,151,81,17,19,338,35,65,122,415,273,0,390,53.6,4.36,0.25,14.6,65.8
ジルソンベルナルド,サントリーサンバーズ,16,104,80,879,464,91,52.8,42.4,397,224,50,22,322,30,91,116,8,4,0,516,56.4,5.8,0.28,11.3,50.0
ビリングスブルック,堺ブレイザーズ,19,76,59,381,180,51,47.2,33.9,185,89,35,28,215,15,56,48,4,1,0,223,48.1,3.05,0.47,6.0,25.0
ペレイラマックス,豊田合成トレフェルサ,10,104,83,602,283,71,47.0,35.2,259,128,42,29,347,45,67,95,1,0,0,357,49.4,3.41,0.35,15.0,0.0
ロドリゲスアンデルソン,NECブルーロケッツ,18,104,84,860,441,98,51.3,39.9,391,213,48,35,333,47,90,108,27,13,0,523,54.5,5.25,0.42,15.5,48.1
上田剛史,サントリーサンバーズ,14,73,20,0,0,0,,,0,0,0,0,31,2,4,14,0,0,0,2,,0.0,0.0,14.5,
下田悟,JTサンダーズ,7,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中垣内祐一,堺ブレイザーズ,4,104,43,131,62,9,47.3,40.5,62,29,5,5,49,2,2,11,0,0,0,69,46.8,1.44,0.12,8.7,
