名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オムルチェンイゴール,JTサンダーズ,15,110,1268,571,95,45.0,37.5,658,292,61,46,499,35,92,197,0,0,0,652,44.4,5.19,0.42,12.3,
グラディナロフミロスラフ,FC東京,11,105,1065,491,85,46.1,38.1,368,157,34,39,387,27,86,137,136,58,0,557,42.7,4.68,0.37,10.3,42.6
サンチェスヤディエール,ジェイテクトSTINGS,20,68,690,301,62,43.6,34.6,296,134,27,13,201,1,43,57,2,1,0,315,45.3,4.43,0.19,2.2,50.0
スタンリークレイトン,サントリーサンバーズ,13,38,331,146,33,44.1,34.1,167,75,20,6,129,11,21,48,0,0,0,163,44.9,3.84,0.16,13.8,
ダンチアマラウ,パナソニックパンサーズ,18,98,720,317,42,44.0,38.2,82,36,12,43,399,15,65,113,536,376,0,375,43.9,3.23,0.44,6.8,70.1
ベゼラジュニオル,JTサンダーズ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ペピチミラン,堺ブレイザーズ,6,108,1161,578,129,49.8,38.7,503,259,68,61,442,48,107,160,0,0,0,687,51.5,5.35,0.56,13.9,
ボヨビッチデヤン,東レアローズ,12,110,857,400,58,46.7,39.9,304,130,30,41,440,22,91,147,3,2,0,463,42.8,3.64,0.37,8.2,66.7
レオナルドメロ,豊田合成トレフェルサ,8,108,1023,476,80,46.5,38.7,388,160,36,50,393,20,72,151,5,2,0,546,41.2,4.41,0.46,10.1,40.0
中島健太,JTサンダーズ,22,5,11,5,2,45.5,27.3,0,0,0,1,14,1,4,2,3,0,0,7,,1.0,0.2,3.6,0.0
久保山尚,ジェイテクトSTINGS,5,13,3,0,0,0.0,0.0,0,0,0,1,32,0,1,6,0,0,0,1,,0.0,0.08,3.9,
井上俊輔,JTサンダーズ,19,99,45,19,2,42.2,37.8,1,0,1,29,354,17,45,107,6,0,0,65,0.0,0.19,0.29,9.2,0.0
井上崇昭,豊田合成トレフェルサ,1,61,38,12,2,31.6,26.3,8,4,0,5,14,0,3,1,9,5,0,17,50.0,0.2,0.08,-3.6,55.6
井上裕介,堺ブレイザーズ,2,110,0,0,0,,,0,0,0,0,0,0,0,0,506,335,0,0,,0.0,0.0,,66.2
井手智,東レアローズ,22,62,0,0,0,,,0,0,0,0,0,0,0,0,313,211,0,0,,0.0,0.0,,67.4
今村駿,堺ブレイザーズ,19,80,15,9,0,60.0,60.0,0,0,0,21,282,5,6,57,1,0,0,35,,0.11,0.26,6.3,0.0
伊東勇樹,パナソニックパンサーズ,4,47,75,23,5,30.7,24.0,33,9,3,4,20,0,7,3,4,3,0,27,27.3,0.49,0.09,-5.0,75.0
伊藤康貴,堺ブレイザーズ,11,72,275,131,26,47.6,38.2,17,6,3,15,228,12,36,76,502,270,0,158,35.3,1.82,0.21,9.6,53.8
伏見大和,東レアローズ,3,5,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
佐々木恵三,豊田合成トレフェルサ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐別當賢治,サントリーサンバーズ,15,106,0,0,0,,,0,0,0,0,0,0,0,0,725,521,0,0,,0.0,0.0,,71.9
佐川翔,堺ブレイザーズ,8,47,9,5,2,55.6,33.3,0,0,0,19,117,1,11,17,2,0,0,25,,0.11,0.4,2.1,0.0
佐野翔,東レアローズ,14,1,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
八子大輔,JTサンダーズ,7,39,255,93,14,36.5,31.0,26,12,3,7,122,6,18,34,218,112,0,106,46.2,2.38,0.18,8.2,51.4
内山正平,豊田合成トレフェルサ,12,108,15,7,0,46.7,46.7,0,0,0,41,407,5,14,80,6,1,0,53,,0.06,0.38,5.3,16.7
内藤和也,堺ブレイザーズ,5,113,212,108,11,50.9,45.8,0,0,0,31,330,11,34,132,21,14,0,150,,0.96,0.27,10.8,66.7
冨士田裕大,サントリーサンバーズ,10,16,19,8,0,42.1,42.1,0,0,0,3,31,1,8,7,1,0,0,12,,0.5,0.19,2.4,0.0
出耒田敬,堺ブレイザーズ,7,45,31,16,3,51.6,41.9,0,0,0,3,29,1,9,7,1,1,0,20,,0.36,0.07,1.7,100.0
前田一誠,豊田合成トレフェルサ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
前田和樹,FC東京,28,85,409,173,33,42.3,34.2,92,34,14,36,259,24,48,79,248,126,0,233,37.0,2.04,0.42,12.3,50.8
加藤伊織,豊田合成トレフェルサ,9,24,18,10,0,55.6,55.6,0,0,0,6,48,0,10,8,2,0,0,16,,0.42,0.25,-1.0,0.0
加賀龍哉,FC東京,14,6,5,1,0,20.0,20.0,1,0,0,3,9,0,0,4,0,0,0,4,0.0,0.17,0.5,11.1,
北島武,堺ブレイザーズ,4,19,21,8,1,38.1,33.3,0,0,0,2,17,0,2,4,43,21,0,10,,0.42,0.11,2.9,48.8
千々木駿介,堺ブレイザーズ,10,74,455,202,29,44.4,38.0,112,55,9,19,237,3,22,43,300,130,0,224,49.1,2.73,0.26,3.5,43.3
古田史郎,ジェイテクトSTINGS,1,20,42,14,8,33.3,14.3,5,0,4,3,21,1,5,2,24,13,0,18,0.0,0.7,0.15,1.2,54.2
古賀幸一郎,豊田合成トレフェルサ,10,108,0,0,0,,,0,0,0,0,0,0,0,0,611,453,0,0,,0.0,0.0,,74.1
吉岡光大,JTサンダーズ,23,3,0,0,0,,,0,0,0,0,0,0,0,0,15,7,0,0,,0.0,0.0,,46.7
國近公太,JTサンダーズ,4,43,53,17,4,32.1,24.5,0,0,0,5,68,1,11,15,172,109,0,23,,0.4,0.12,2.9,63.4
坂梨朋彦,堺ブレイザーズ,14,6,0,0,0,,,0,0,0,0,0,0,0,0,12,5,0,0,,0.0,0.0,,41.7
塚崎祐平,JTサンダーズ,16,18,81,34,7,42.0,33.3,6,4,1,3,36,2,8,6,76,44,0,39,66.7,1.89,0.17,4.2,57.9
塩田達也,サントリーサンバーズ,12,80,134,67,9,50.0,43.3,0,0,0,41,244,9,54,80,21,11,0,117,,0.84,0.51,6.4,52.4
大上正裕,JTサンダーズ,21,13,0,0,0,,,0,0,0,0,0,0,0,0,12,9,0,0,,0.0,0.0,,75.0
大木貴之,東レアローズ,20,45,238,105,12,44.1,39.1,57,26,4,7,127,6,26,39,133,74,0,118,45.6,2.33,0.16,7.3,55.6
大矢佳祐,ジェイテクトSTINGS,18,3,0,0,0,,,0,0,0,0,0,0,0,0,19,11,0,0,,0.0,0.0,,57.9
大竹貴久,パナソニックパンサーズ,16,31,1,0,0,0.0,0.0,0,0,0,1,38,1,2,7,1,0,0,2,,0.0,0.03,5.9,0.0
安井勇誠,JTサンダーズ,11,31,33,13,3,39.4,30.3,13,7,2,0,38,0,8,8,0,0,0,13,53.8,0.42,0.0,0.0,
安永拓弥,JTサンダーズ,1,82,147,80,7,54.4,49.7,1,0,0,44,216,10,43,45,2,0,0,134,0.0,0.98,0.54,4.9,0.0
富松崇彰,東レアローズ,1,106,258,162,12,62.8,58.1,0,0,0,91,286,5,17,79,9,3,0,258,,1.53,0.86,7.2,33.3
小澤翔,JTサンダーズ,10,61,226,106,13,46.9,41.2,14,6,2,14,181,4,33,54,307,169,0,124,42.9,1.74,0.23,5.1,55.0
山岡祐也,FC東京,10,73,9,3,2,33.3,11.1,0,0,0,6,181,5,10,44,3,0,0,14,,0.04,0.08,7.5,0.0
