名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オムルチェンイゴール,2013-12,JTサンダーズ,15,17,189,92,15,48.7,40.7,103,49,11,8,56,2,15,20,0,0,0,102,47.6,5.41,0.47,5.8,
オムルチェンイゴール,2014-01,JTサンダーズ,15,23,286,122,30,42.7,32.2,151,71,16,9,106,8,18,42,0,0,0,139,47.0,5.3,0.39,13.2,
オムルチェンイゴール,2014-02,JTサンダーズ,15,33,384,170,25,44.3,37.8,203,85,15,13,158,12,26,68,0,0,0,195,41.9,5.15,0.39,14.2,
オムルチェンイゴール,2014-03,JTサンダーズ,15,37,409,187,25,45.7,39.6,201,87,19,16,179,13,33,67,0,0,0,216,43.3,5.05,0.43,12.0,
グラディナロフミロスラフ,2013-12,FC東京,11,18,161,64,16,39.8,29.8,44,20,5,6,64,3,15,21,70,24,0,73,45.5,3.56,0.33,7.0,34.3
グラディナロフミロスラフ,2014-01,FC東京,11,22,247,105,19,42.5,34.8,66,25,5,11,94,8,17,34,47,22,0,124,37.9,4.77,0.5,13.0,46.8
グラディナロフミロスラフ,2014-02,FC東京,11,31,314,153,25,48.7,40.8,122,51,11,11,112,9,20,43,12,7,0,173,41.8,4.94,0.35,13.2,58.3
グラディナロフミロスラフ,2014-03,FC東京,11,34,343,169,25,49.3,42.0,136,61,13,11,117,7,34,39,7,5,0,187,44.9,4.97,0.32,7.1,71.4
サンチェスヤディエール,2013-12,ジェイテクトSTINGS,20,11,90,29,9,32.2,22.2,32,13,2,1,25,0,3,7,0,0,0,30,40.6,2.64,0.09,4.0,
サンチェスヤディエール,2014-01,ジェイテクトSTINGS,20,17,177,79,14,44.6,36.7,80,34,9,2,59,0,11,16,1,1,0,81,42.5,4.65,0.12,2.1,100.0
サンチェスヤディエール,2014-02,ジェイテクトSTINGS,20,27,290,136,26,46.9,37.9,127,61,12,7,80,1,19,27,1,0,0,144,48.0,5.04,0.26,3.8,0.0
サンチェスヤディエール,2014-03,ジェイテクトSTINGS,20,13,133,57,13,42.9,33.1,57,26,4,3,37,0,10,7,0,0,0,60,45.6,4.38,0.23,-2.0,
スタンリークレイトン,2013-12,サントリーサンバーズ,13,12,100,51,7,51.0,44.0,44,23,5,5,44,4,7,17,0,0,0,60,52.3,4.25,0.42,14.8,
スタンリークレイトン,2014-01,サントリーサンバーズ,13,22,224,94,21,42.0,32.6,120,51,13,1,81,6,12,31,0,0,0,101,42.5,4.27,0.05,13.3,
スタンリークレイトン,2014-02,サントリーサンバーズ,13,4,7,1,5,14.3,-57.1,3,1,2,0,4,1,2,0,0,0,0,2,33.3,0.25,0.0,12.5,
ダンチアマラウ,2013-12,パナソニックパンサーズ,18,14,94,45,2,47.9,45.7,10,5,1,3,53,5,10,10,67,48,0,53,50.0,3.21,0.21,9.4,71.6
ダンチアマラウ,2014-01,パナソニックパンサーズ,18,25,166,69,13,41.6,33.7,21,11,3,10,100,4,22,22,119,85,0,83,52.4,2.76,0.4,4.0,71.4
ダンチアマラウ,2014-02,パナソニックパンサーズ,18,28,218,96,14,44.0,37.6,21,6,4,14,122,4,16,40,178,124,0,114,28.6,3.43,0.5,8.2,69.7
ダンチアマラウ,2014-03,パナソニックパンサーズ,18,31,242,107,13,44.2,38.8,30,14,4,16,124,2,17,41,172,119,0,125,46.7,3.45,0.52,6.5,69.2
ベゼラジュニオル,2013-12,JTサンダーズ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ペピチミラン,2013-12,堺ブレイザーズ,6,17,195,99,19,50.8,41.0,92,47,15,9,72,5,24,19,0,0,0,113,51.1,5.82,0.53,5.2,
ペピチミラン,2014-01,堺ブレイザーズ,6,23,249,132,26,53.0,42.6,103,55,13,20,91,12,18,38,0,0,0,164,53.4,5.74,0.87,18.7,
ペピチミラン,2014-02,堺ブレイザーズ,6,29,286,136,34,47.6,35.7,118,61,13,18,115,13,27,38,0,0,0,167,51.7,4.69,0.62,13.7,
ペピチミラン,2014-03,堺ブレイザーズ,6,39,431,211,50,49.0,37.4,190,96,27,14,164,18,38,65,0,0,0,243,50.5,5.41,0.36,15.1,
ボヨビッチデヤン,2013-12,東レアローズ,12,14,98,40,8,40.8,32.7,37,11,4,3,57,4,11,14,0,0,0,47,29.7,2.86,0.21,8.3,
ボヨビッチデヤン,2014-01,東レアローズ,12,23,205,106,10,51.7,46.8,72,33,7,7,96,5,24,32,2,1,0,118,45.8,4.61,0.3,7.3,50.0
ボヨビッチデヤン,2014-02,東レアローズ,12,36,270,118,16,43.7,37.8,90,39,5,18,145,6,26,58,1,1,0,142,43.3,3.28,0.5,9.7,100.0
ボヨビッチデヤン,2014-03,東レアローズ,12,37,284,136,24,47.9,39.4,105,47,14,13,142,7,30,43,0,0,0,156,44.8,3.68,0.35,7.2,
レオナルドメロ,2013-12,豊田合成トレフェルサ,8,16,171,83,16,48.5,39.2,71,36,7,8,53,1,14,17,0,0,0,92,50.7,5.19,0.5,3.3,
レオナルドメロ,2014-01,豊田合成トレフェルサ,8,23,225,115,17,51.1,43.6,78,38,3,9,88,3,17,31,0,0,0,127,48.7,5.0,0.39,7.4,
レオナルドメロ,2014-02,豊田合成トレフェルサ,8,30,243,112,21,46.1,37.4,94,34,13,16,110,9,16,41,1,0,0,137,36.2,3.73,0.53,13.9,0.0
レオナルドメロ,2014-03,豊田合成トレフェルサ,8,39,384,166,26,43.2,36.5,145,52,13,17,142,7,25,62,4,2,0,190,35.9,4.26,0.44,11.4,50.0
中島健太,2014-03,JTサンダーズ,22,5,11,5,2,45.5,27.3,0,0,0,1,14,1,4,2,3,0,0,7,,1.0,0.2,3.6,0.0
久保山尚,2014-02,ジェイテクトSTINGS,5,7,0,0,0,,,0,0,0,0,16,0,0,2,0,0,0,0,,0.0,0.0,3.1,
久保山尚,2014-03,ジェイテクトSTINGS,5,6,3,0,0,0.0,0.0,0,0,0,1,16,0,1,4,0,0,0,1,,0.0,0.17,4.7,
井上俊輔,2013-12,JTサンダーズ,19,16,9,5,0,55.6,55.6,0,0,0,7,54,4,6,19,1,0,0,16,,0.31,0.44,13.4,0.0
井上俊輔,2014-01,JTサンダーズ,19,21,11,1,0,9.1,9.1,0,0,0,4,71,1,11,15,1,0,0,6,,0.05,0.19,2.8,0.0
井上俊輔,2014-02,JTサンダーズ,19,25,15,5,1,33.3,26.7,0,0,0,9,95,7,8,35,2,0,0,21,,0.2,0.36,14.5,0.0
井上俊輔,2014-03,JTサンダーズ,19,37,10,8,1,80.0,70.0,1,0,1,9,134,5,20,38,2,0,0,22,0.0,0.22,0.24,7.1,0.0
井上崇昭,2013-12,豊田合成トレフェルサ,1,10,2,0,1,0.0,-50.0,0,0,0,1,1,0,0,0,0,0,0,1,,0.0,0.1,0.0,
井上崇昭,2014-01,豊田合成トレフェルサ,1,14,9,3,0,33.3,33.3,1,0,0,2,2,0,1,1,0,0,0,5,0.0,0.21,0.14,0.0,
井上崇昭,2014-02,豊田合成トレフェルサ,1,19,14,4,1,28.6,21.4,1,1,0,2,9,0,1,0,9,5,0,6,100.0,0.21,0.11,-2.8,55.6
井上崇昭,2014-03,豊田合成トレフェルサ,1,18,13,5,0,38.5,38.5,6,3,0,0,2,0,1,0,0,0,0,5,50.0,0.28,0.0,-12.5,
井上裕介,2013-12,堺ブレイザーズ,2,17,0,0,0,,,0,0,0,0,0,0,0,0,63,43,0,0,,0.0,0.0,,68.3
井上裕介,2014-01,堺ブレイザーズ,2,23,0,0,0,,,0,0,0,0,0,0,0,0,112,75,0,0,,0.0,0.0,,67.0
井上裕介,2014-02,堺ブレイザーズ,2,29,0,0,0,,,0,0,0,0,0,0,0,0,132,88,0,0,,0.0,0.0,,66.7
井上裕介,2014-03,堺ブレイザーズ,2,41,0,0,0,,,0,0,0,0,0,0,0,0,199,129,0,0,,0.0,0.0,,64.8
井手智,2014-02,東レアローズ,22,26,0,0,0,,,0,0,0,0,0,0,0,0,128,94,0,0,,0.0,0.0,,73.4
井手智,2014-03,東レアローズ,22,36,0,0,0,,,0,0,0,0,0,0,0,0,185,117,0,0,,0.0,0.0,,63.2
今村駿,2013-12,堺ブレイザーズ,19,17,6,3,0,50.0,50.0,0,0,0,2,57,2,3,9,1,0,0,7,,0.18,0.12,6.1,0.0
今村駿,2014-01,堺ブレイザーズ,19,23,4,3,0,75.0,75.0,0,0,0,7,83,1,1,15,0,0,0,11,,0.13,0.3,5.4,
今村駿,2014-02,堺ブレイザーズ,19,24,2,2,0,100.0,100.0,0,0,0,9,94,1,1,20,0,0,0,12,,0.08,0.38,6.1,
今村駿,2014-03,堺ブレイザーズ,19,16,3,1,0,33.3,33.3,0,0,0,3,48,1,1,13,0,0,0,5,,0.06,0.19,8.3,
伊東勇樹,2013-12,パナソニックパンサーズ,4,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
伊東勇樹,2014-01,パナソニックパンサーズ,4,12,13,5,2,38.5,23.1,4,1,1,0,6,0,2,1,0,0,0,5,25.0,0.42,0.0,-4.2,
伊東勇樹,2014-02,パナソニックパンサーズ,4,14,8,2,0,25.0,25.0,1,1,0,1,0,0,0,0,0,0,0,3,100.0,0.14,0.07,,
伊東勇樹,2014-03,パナソニックパンサーズ,4,20,54,16,3,29.6,24.1,28,7,2,3,14,0,5,2,4,3,0,19,25.0,0.8,0.15,-5.4,75.0
伊藤康貴,2013-12,堺ブレイザーズ,11,15,71,32,5,45.1,38.0,5,3,0,2,59,4,9,17,134,74,0,38,60.0,2.13,0.13,10.2,55.2
伊藤康貴,2014-01,堺ブレイザーズ,11,16,73,37,8,50.7,39.7,6,1,1,5,53,3,9,13,136,72,0,45,16.7,2.31,0.31,7.5,52.9
伊藤康貴,2014-02,堺ブレイザーズ,11,22,92,47,10,51.1,40.2,4,1,1,5,78,4,11,30,157,93,0,56,25.0,2.14,0.23,11.2,59.2
伊藤康貴,2014-03,堺ブレイザーズ,11,19,39,15,3,38.5,30.8,2,1,1,3,38,1,7,16,75,31,0,19,50.0,0.79,0.16,8.6,41.3
伏見大和,2014-03,東レアローズ,3,5,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
佐々木恵三,2013-12,豊田合成トレフェルサ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木恵三,2014-01,豊田合成トレフェルサ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木恵三,2014-02,豊田合成トレフェルサ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木恵三,2014-03,豊田合成トレフェルサ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
