試合日,年月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,2,,古藤千鶴,3,■,■,■,,,1,0,0,0.0,0.0,-,0,0,0,-,1,0.33,18,0,0,6,8.3,0,0,0,-,1
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,3,,新鍋理沙,3,■,■,■,,,23,12,2,52.2,43.5,4.00,0,0,0,-,1,0.33,14,1,2,2,7.1,9,4,3,61.1,14
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,4,,岩坂名奈,3,■,■,■,,,10,5,0,50.0,50.0,1.67,0,0,0,-,0,-,6,0,1,2,4.2,0,0,0,-,5
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,6,,石井優希,3,■,■,■,,,40,16,1,40.0,37.5,5.33,4,1,0,25.0,0,-,17,1,0,8,17.6,18,7,2,44.4,17
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,8,,野本梨佳,3,■,■,■,,,43,17,1,39.5,37.2,5.67,1,1,0,100.0,2,0.67,8,0,1,1,0.0,7,2,3,50.0,19
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,10,L,座安琴希,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,11,,栄絵里香,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,12,,今村優香,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,14,,森谷史佳,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,16,,アキンラデウォフォルケ,3,■,■,■,,,9,5,0,55.6,55.6,1.67,0,0,0,-,2,0.67,8,0,0,1,3.1,0,0,0,-,7
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,18,L,戸江真奈,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,7,7,47.7,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,20,,筒井さやか,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,0,0,0.0,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,22,,井上愛里沙,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,久光製薬スプリングス,デンソーエアリービーズ,25,,加藤光,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-,0
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,1,,中元南,3,■,■,■,,,25,5,0,20.0,20.0,1.67,5,1,0,20.0,0,-,11,1,2,3,11.4,1,0,0,0.0,6
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,2,,積山春花,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,3,,朝日優衣,3,■,■,□,,,26,7,0,26.9,26.9,2.33,0,0,0,-,0,-,6,0,0,2,8.3,3,2,0,66.7,7
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,7,,早坂梢依,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,8,,田原愛里,3,■,■,■,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-,0
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,9,L,小口樹葉,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,51,23,12,56.9,0
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,10,L,中川千世,3,〇,〇,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,15,,鍋谷友理枝,3,■,■,■,,,29,13,1,44.8,41.4,4.33,3,1,1,33.3,0,-,7,0,1,2,3.6,5,2,1,50.0,13
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,17,,野村明日香,3,■,■,■,,,9,1,1,11.1,0.0,0.33,0,0,0,-,2,0.67,16,5,0,9,45.3,0,0,0,-,8
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,18,,シニアードジャック,3,■,■,■,,,22,12,1,54.5,50.0,4.00,0,0,0,-,0,-,13,2,0,5,25.0,1,0,1,50.0,14
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,21,,工藤嶺,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,22,,石田瑞穂,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-,0
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,23,,佐野伶奈,1,,,□,,,3,1,0,33.3,33.3,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2019-03-02,2019-03,デンソーエアリービーズ,久光製薬スプリングス,24,,兵頭由希,2,,□,■,,,16,3,1,18.8,12.5,1.50,0,0,0,-,0,-,2,0,0,0,0.0,7,3,3,64.3,3
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,2,L,佐藤澪,4,〇,〇,〇,〇,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,4,,比金桃子,1,■,,,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,4,1,0,1,31.2,1,0,0,0.0,1
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,5,,内瀬戸真実,4,■,■,■,■,,39,9,3,23.1,15.4,2.25,1,0,1,0.0,0,-,19,1,0,2,7.9,12,7,3,70.8,10
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,6,,村永奈央,4,■,■,■,■,,26,6,3,23.1,11.5,1.50,0,0,0,-,0,-,15,1,0,3,11.7,40,17,12,57.5,7
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,8,L,榊原美沙都,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,9,2,71.4,0
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,10,,小田桃香,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,11,,荒木絵里香,4,■,■,■,■,,17,10,0,58.8,58.8,2.50,0,0,0,-,2,0.50,20,0,1,5,5.0,1,0,0,0.0,12
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,12,,渡邊彩,4,■,■,■,■,,15,9,0,60.0,60.0,2.25,0,0,0,-,4,1.00,12,0,2,1,-2.1,1,0,0,0.0,13
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,13,,オズソイネリマン,4,■,■,■,■,,63,22,8,34.9,22.2,5.50,17,4,4,23.5,0,-,13,1,1,2,9.6,0,0,0,-,23
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,14,,金本望,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,15,,杉郁香,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,17,,藪田美穂子,1,,,□,,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,0,0.0,7,4,1,64.3,0
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,18,,山上有紀,4,□,■,■,■,,0,0,0,,,-,0,0,0,-,2,0.50,10,0,0,3,7.5,0,0,0,-,2
2019-03-02,2019-03,トヨタ車体クインシーズ,日立リヴァーレ,19,,安井由香子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,日立リヴァーレ,トヨタ車体クインシーズ,1,,間橋香織,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,日立リヴァーレ,トヨタ車体クインシーズ,2,,小野寺友香,3,,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,0
2019-03-02,2019-03,日立リヴァーレ,トヨタ車体クインシーズ,3,,堀井有蘭,4,■,■,■,■,,15,5,1,33.3,26.7,1.25,0,0,0,-,1,0.25,12,1,2,0,4.2,10,4,3,55.0,7
2019-03-02,2019-03,日立リヴァーレ,トヨタ車体クインシーズ,6,,芳賀舞波,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-02,2019-03,日立リヴァーレ,トヨタ車体クインシーズ,7,,齋藤加奈子,3,□,,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,3,3,75.0,0
2019-03-02,2019-03,日立リヴァーレ,トヨタ車体クインシーズ,8,,佐藤美弥,4,■,■,■,■,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,9,0,1,4,8.3,0,0,0,-,0
2019-03-02,2019-03,日立リヴァーレ,トヨタ車体クインシーズ,9,,渡邊久惠,4,■,■,■,■,,71,25,5,35.2,28.2,6.25,11,2,1,18.2,0,-,13,0,1,2,1.9,1,1,0,100.0,25
2019-03-02,2019-03,日立リヴァーレ,トヨタ車体クインシーズ,10,L,小池杏菜,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,2,4,66.7,0
